gene_ID	protein_ID
gene_726	1979286
gene_727	1979287
gene_728	1979288
gene_729	1979289
gene_730	1979290
gene_731	1979291
gene_732	1979292
gene_733	1979293
gene_734	1979294
gene_735	1979295
gene_736	1979296
gene_737	1979297
gene_738	1979298
gene_739	1979299
gene_740	1979300
gene_741	1979301
gene_742	1979302
gene_743	1979303
gene_744	1979304
gene_745	1979305
gene_746	1979306
gene_747	1979307
gene_748	1979308
gene_749	1979309
gene_750	1979310
gene_751	1979311
gene_752	1979312
gene_753	1979313
gene_754	1979314
gene_755	1979315
gene_756	1979316
gene_757	1979317
gene_758	1979318
gene_759	1979319
gene_760	1979320
gene_761	1979321
gene_762	1979322
gene_763	1979323
gene_764	1979324
gene_765	1979325
gene_766	1979326
gene_767	1979327
gene_768	1979328
gene_769	1979329
gene_770	1979330
gene_771	1979331
gene_772	1979332
gene_773	1979333
gene_774	1979334
gene_775	1979335
gene_776	1979336
gene_777	1979337
gene_778	1979338
gene_779	1979339
gene_780	1979340
gene_781	1979341
gene_782	1979342
gene_783	1979343
gene_784	1979344
gene_785	1979345
gene_786	1979346
gene_787	1979347
gene_788	1979348
gene_789	1979349
gene_790	1979350
gene_791	1979351
gene_792	1979352
gene_793	1979353
gene_794	1979354
gene_795	1979355
gene_796	1979356
gene_797	1979357
gene_798	1979358
gene_799	1979359
gene_800	1979360
gene_801	1979361
gene_802	1979362
gene_803	1979363
gene_804	1979364
gene_805	1979365
gene_806	1979366
gene_807	1979367
gene_808	1979368
gene_809	1979369
gene_810	1979370
gene_811	1979371
gene_812	1979372
gene_813	1979373
gene_814	1979374
gene_815	1979375
gene_816	1979376
gene_817	1979377
gene_818	1979378
gene_819	1979379
gene_820	1979380
gene_821	1979381
gene_822	1979382
gene_823	1979383
gene_824	1979384
gene_825	1979385
gene_826	1979386
gene_827	1979387
gene_828	1979388
gene_829	1979389
gene_830	1979390
gene_831	1979391
gene_832	1979392
gene_833	1979393
gene_834	1979394
gene_835	1979395
gene_836	1979396
gene_837	1979397
gene_838	1979398
gene_839	1979399
gene_840	1979400
gene_841	1979401
gene_842	1979402
gene_843	1979403
gene_844	1979404
gene_845	1979405
gene_846	1979406
gene_847	1979407
gene_848	1979408
gene_849	1979409
gene_850	1979410
gene_851	1979411
gene_852	1979412
gene_853	1979413
gene_854	1979414
gene_855	1979415
gene_856	1979416
gene_857	1979417
gene_858	1979418
gene_859	1979419
gene_860	1979420
gene_861	1979421
gene_862	1979422
gene_863	1979423
gene_864	1979424
gene_865	1979425
gene_866	1979426
gene_867	1979427
gene_868	1979428
gene_869	1979429
gene_870	1979430
gene_871	1979431
gene_872	1979432
gene_873	1979433
gene_874	1979434
gene_875	1979435
gene_876	1979436
gene_877	1979437
gene_878	1979438
gene_879	1979439
gene_880	1979440
gene_881	1979441
gene_882	1979442
gene_883	1979443
gene_884	1979444
gene_885	1979445
gene_886	1979446
gene_887	1979447
gene_888	1979448
gene_889	1979449
gene_890	1979450
gene_891	1979451
gene_892	1979452
gene_893	1979453
gene_894	1979454
gene_895	1979455
gene_896	1979456
gene_897	1979457
gene_898	1979458
gene_899	1979459
gene_900	1979460
gene_901	1979461
gene_902	1979462
gene_903	1979463
gene_904	1979464
gene_905	1979465
gene_906	1979466
gene_907	1979467
gene_908	1979468
gene_909	1979469
gene_910	1979470
gene_911	1979471
gene_912	1979472
gene_913	1979473
gene_914	1979474
gene_915	1979475
gene_916	1979476
gene_917	1979477
gene_918	1979478
gene_919	1979479
gene_920	1979480
gene_921	1979481
gene_922	1979482
gene_923	1979483
gene_924	1979484
gene_925	1979485
gene_926	1979486
gene_927	1979487
gene_928	1979488
gene_929	1979489
gene_930	1979490
gene_931	1979491
gene_932	1979492
gene_933	1979493
gene_934	1979494
gene_935	1979495
gene_936	1979496
gene_937	1979497
gene_938	1979498
gene_939	1979499
gene_940	1979500
gene_941	1979501
gene_942	1979502
gene_943	1979503
gene_944	1979504
gene_945	1979505
gene_946	1979506
gene_947	1979507
gene_948	1979508
gene_949	1979509
gene_950	1979510
gene_951	1979511
gene_952	1979512
gene_953	1979513
gene_954	1979514
gene_955	1979515
gene_956	1979516
gene_957	1979517
gene_958	1979518
gene_959	1979519
gene_960	1979520
gene_961	1979521
gene_962	1979522
gene_963	1979523
gene_964	1979524
gene_965	1979525
gene_966	1979526
gene_967	1979527
gene_968	1979528
gene_969	1979529
gene_970	1979530
gene_971	1979531
gene_972	1979532
gene_973	1979533
gene_974	1979534
gene_975	1979535
gene_976	1979536
gene_977	1979537
gene_978	1979538
gene_979	1979539
gene_980	1979540
gene_981	1979541
gene_982	1979542
gene_983	1979543
gene_984	1979544
gene_985	1979545
gene_986	1979546
gene_987	1979547
gene_988	1979548
gene_989	1979549
gene_990	1979550
gene_991	1979551
gene_992	1979552
gene_993	1979553
gene_994	1979554
gene_995	1979555
gene_996	1979556
gene_997	1979557
gene_998	1979558
gene_999	1979559
gene_1000	1979560
gene_1001	1979561
gene_1002	1979562
gene_1003	1979563
gene_1004	1979564
gene_1005	1979565
gene_1006	1979566
gene_1007	1979567
gene_1008	1979568
gene_1009	1979569
gene_1010	1979570
gene_1011	1979571
gene_1012	1979572
gene_1013	1979573
gene_1014	1979574
gene_1015	1979575
gene_1016	1979576
gene_1017	1979577
gene_1018	1979578
gene_1019	1979579
gene_1020	1979580
gene_1021	1979581
gene_1022	1979582
gene_1023	1979583
gene_1024	1979584
gene_1025	1979585
gene_1026	1979586
gene_1027	1979587
gene_1028	1979588
gene_1029	1979589
gene_1030	1979590
gene_1031	1979591
gene_1032	1979592
gene_1033	1979593
gene_1034	1979594
gene_1035	1979595
gene_1036	1979596
gene_1037	1979597
gene_1038	1979598
gene_1039	1979599
gene_1040	1979600
gene_1041	1979601
gene_1042	1979602
gene_1043	1979603
gene_1044	1979604
gene_1045	1979605
gene_1046	1979606
gene_1047	1979607
gene_1048	1979608
gene_1049	1979609
gene_1050	1979610
gene_1051	1979611
gene_1052	1979612
gene_1053	1979613
gene_1054	1979614
gene_1055	1979615
gene_1056	1979616
gene_1057	1979617
gene_1058	1979618
gene_1059	1979619
gene_1060	1979620
gene_1061	1979621
gene_1062	1979622
gene_1063	1979623
gene_1064	1979624
gene_1065	1979625
gene_1066	1979626
gene_1067	1979627
gene_1068	1979628
gene_1069	1979629
gene_1070	1979630
gene_1071	1979631
gene_1072	1979632
gene_1073	1979633
gene_1074	1979634
gene_1075	1979635
gene_1076	1979636
gene_1077	1979637
gene_1078	1979638
gene_1079	1979639
gene_1080	1979640
gene_1081	1979641
gene_1082	1979642
gene_1083	1979643
gene_1084	1979644
gene_1085	1979645
gene_1086	1979646
gene_1087	1979647
gene_1088	1979648
gene_1089	1979649
gene_1090	1979650
gene_1091	1979651
gene_1092	1979652
gene_1093	1979653
gene_1094	1979654
gene_1095	1979655
gene_1096	1979656
gene_1097	1979657
gene_1098	1979658
gene_1099	1979659
gene_1100	1979660
gene_1101	1979661
gene_1102	1979662
gene_1103	1979663
gene_1104	1979664
gene_1105	1979665
gene_1106	1979666
gene_1107	1979667
gene_1108	1979668
gene_1109	1979669
gene_1110	1979670
gene_1111	1979671
gene_1112	1979672
gene_1113	1979673
gene_1114	1979674
gene_1115	1979675
gene_1116	1979676
gene_1117	1979677
gene_1118	1979678
gene_1119	1979679
gene_1120	1979680
gene_1121	1979681
gene_1122	1979682
gene_1123	1979683
gene_1124	1979684
gene_1125	1979685
gene_1126	1979686
gene_1127	1979687
gene_1128	1979688
gene_1129	1979689
gene_1130	1979690
gene_1131	1979691
gene_1132	1979692
gene_1133	1979693
gene_1134	1979694
gene_1135	1979695
gene_1136	1979696
gene_1137	1979697
gene_1138	1979698
gene_1139	1979699
gene_1140	1979700
gene_1141	1979701
gene_1142	1979702
gene_1143	1979703
gene_1144	1979704
gene_1145	1979705
gene_1146	1979706
gene_1147	1979707
gene_1148	1979708
gene_1149	1979709
gene_1150	1979710
gene_1151	1979711
gene_1152	1979712
gene_1153	1979713
gene_1154	1979714
gene_1155	1979715
gene_1156	1979716
gene_1157	1979717
gene_1158	1979718
gene_1159	1979719
gene_1160	1979720
gene_1161	1979721
gene_1162	1979722
gene_1163	1979723
gene_1164	1979724
gene_1165	1979725
gene_1166	1979726
gene_1167	1979727
gene_1168	1979728
gene_1169	1979729
gene_1170	1979730
gene_1171	1979731
gene_1172	1979732
gene_1173	1979733
gene_1174	1979734
gene_1175	1979735
gene_1176	1979736
gene_1177	1979737
gene_1178	1979738
gene_1179	1979739
gene_1180	1979740
gene_1181	1979741
gene_1182	1979742
gene_1183	1979743
gene_1184	1979744
gene_1185	1979745
gene_1186	1979746
gene_1187	1979747
gene_1188	1979748
gene_1189	1979749
gene_1190	1979750
gene_1191	1979751
gene_1192	1979752
gene_1193	1979753
gene_1194	1979754
gene_1195	1979755
gene_1196	1979756
gene_1197	1979757
gene_1198	1979758
gene_1199	1979759
gene_1200	1979760
gene_1201	1979761
gene_1202	1979762
gene_1203	1979763
gene_1204	1979764
gene_1205	1979765
gene_1206	1979766
gene_1207	1979767
gene_1208	1979768
gene_1209	1979769
gene_1210	1979770
gene_1211	1979771
gene_1212	1979772
gene_1213	1979773
gene_1214	1979774
gene_1215	1979775
gene_1216	1979776
gene_1217	1979777
gene_1218	1979778
gene_1219	1979779
gene_1220	1979780
gene_1221	1979781
gene_1222	1979782
gene_1223	1979783
gene_1224	1979784
gene_1225	1979785
gene_1226	1979786
gene_1227	1979787
gene_1228	1979788
gene_1229	1979789
gene_1230	1979790
gene_1231	1979791
gene_1232	1979792
gene_1233	1979793
gene_1234	1979794
gene_1235	1979795
gene_1236	1979796
gene_1237	1979797
gene_1238	1979798
gene_1239	1979799
gene_1240	1979800
gene_1241	1979801
gene_1242	1979802
gene_1243	1979803
gene_1244	1979804
gene_1245	1979805
gene_1246	1979806
gene_1247	1979807
gene_1248	1979808
gene_1249	1979809
gene_1250	1979810
gene_1251	1979811
gene_1252	1979812
gene_1253	1979813
gene_1254	1979814
gene_1255	1979815
gene_1256	1979816
gene_1257	1979817
gene_1258	1979818
gene_1259	1979819
gene_1260	1979820
gene_1261	1979821
gene_1262	1979822
gene_1263	1979823
